transaction_id,user_id,account_id,transaction_date,transaction_time,amount,currency,merchant,category,transaction_type,status,location,device,balance_after,notes
T000033,1648,57977,2024-09-08,07:22:45,4198.24,USD,Google,Utilities,Credit,Pending,New York,Web,10212.6,
T000034,2212,98160,2022-08-20,19:33:33,-1021.83,ILS,Amazon,Utilities,Debit,Pending,Tokyo,Web,13960.91,Gift
T000041,2310,27988,2022-08-18,05:06:03,2927.87,EUR,Tesla,Electronics,Credit,Pending,Tel Aviv,ATM,12817.49,Bonus
T000043,8962,79366,2022-08-25,23:16:56,1907.61,EUR,Amazon,Utilities,Credit,Completed,Tel Aviv,Web,7229.76,Gift
T000045,6941,42174,2024-02-26,08:13:23,3204.94,GBP,Tesla,Electronics,Credit,Pending,Tokyo,Mobile,8289.79,
T000046,5528,95842,2021-05-13,19:10:11,4899.42,GBP,IKEA,Travel,Credit,Pending,London,ATM,16420.7,Monthly subscription
T000047,7357,65904,2024-04-01,15:02:36,1933.95,USD,Walmart,Entertainment,Credit,Failed,New York,POS,295.99,Monthly subscription
T000049,5987,65679,2020-09-29,22:12:19,2330.76,USD,Apple,Travel,Credit,Pending,Berlin,Web,16897.09,Rent payment
T000050,4894,22298,2021-07-30,20:00:31,-3623.16,GBP,Tesla,Entertainment,Debit,Pending,Tel Aviv,Web,13054.32,Rent payment
T000051,1259,82858,2021-06-03,05:48:05,200.07,EUR,IKEA,Salary,Debit,Completed,Tel Aviv,ATM,10779.99,Gift
T000053,1550,52560,2022-01-20,11:35:03,-4553.5,EUR,Apple,Entertainment,Credit,Failed,Berlin,Web,15010.29,Gift
T000056,5837,96560,2023-05-09,18:07:34,-1739.44,EUR,Google,Electronics,Credit,Pending,Berlin,Web,12015.19,Monthly subscription
T000057,1143,14882,2023-03-13,03:39:52,-2380.45,GBP,Tesla,Electronics,Credit,Pending,New York,ATM,12057.54,Monthly subscription
T000058,2283,93699,2023-03-10,11:19:34,-587.17,EUR,Tesla,Electronics,Debit,Completed,Tel Aviv,POS,19034.9,Monthly subscription
T000061,6659,17727,2023-06-07,11:29:22,-1052.0,USD,Walmart,Salary,Debit,Failed,New York,ATM,3186.81,Refund
T000062,9338,37186,2021-07-17,08:02:44,-1531.97,GBP,Amazon,Electronics,Debit,Completed,New York,Mobile,3881.63,Bonus
T000063,8445,63019,2020-07-01,13:52:55,2659.1,EUR,Amazon,Utilities,Credit,Failed,Tel Aviv,ATM,9304.01,Bonus
T000066,8459,66045,2021-01-20,03:54:25,639.45,GBP,IKEA,Travel,Credit,Pending,Tel Aviv,Web,10383.08,
T000068,2520,81293,2023-03-24,22:33:47,931.23,EUR,Apple,Salary,Credit,Completed,Tokyo,POS,4004.65,Rent payment
T000069,7414,28572,2022-03-11,01:20:04,1917.18,ILS,Apple,Salary,Debit,Completed,New York,POS,528.82,Rent payment
T000070,2554,18590,2023-10-24,17:57:13,1961.82,GBP,Amazon,Utilities,Debit,Pending,London,ATM,16235.93,
T000072,3652,86940,2022-03-06,05:25:07,-2605.77,GBP,Walmart,Groceries,Credit,Completed,Tokyo,POS,9341.26,
T000073,5053,94018,2024-08-18,13:12:23,3723.94,GBP,Apple,Electronics,Credit,Failed,New York,ATM,15291.48,
T000074,6322,82594,2021-02-22,12:53:53,-4131.51,GBP,Apple,Salary,Credit,Completed,Berlin,Mobile,8267.64,Monthly subscription
T000075,5511,28464,2024-01-25,11:15:55,-4715.05,ILS,Google,Groceries,Credit,Pending,Berlin,Web,1038.04,Gift
T000076,2162,64138,2020-06-23,00:19:23,4047.93,ILS,Tesla,Salary,Debit,Pending,London,Mobile,10287.59,
T000079,6533,42874,2021-05-10,06:18:03,-2994.17,USD,Walmart,Salary,Debit,Failed,Tokyo,Mobile,510.77,Bonus
T000080,6376,71123,2020-02-27,07:13:34,18.34,EUR,Google,Salary,Debit,Pending,Tel Aviv,POS,5176.28,
T000081,2070,63193,2021-11-12,08:54:55,427.91,USD,Walmart,Groceries,Credit,Failed,Berlin,POS,4167.62,
T000084,2288,16123,2022-06-22,10:05:17,2371.37,ILS,IKEA,Electronics,Credit,Pending,Berlin,POS,19935.38,Gift
T000086,5951,66683,2020-08-13,12:35:34,4475.18,ILS,Apple,Travel,Credit,Completed,Tel Aviv,ATM,18504.17,
T000087,7160,36050,2023-05-04,20:53:23,-3534.84,ILS,Walmart,Entertainment,Debit,Failed,Tel Aviv,ATM,6980.24,Bonus
T000088,8810,64334,2024-10-03,15:40:32,-3014.84,EUR,Amazon,Salary,Debit,Pending,London,Mobile,17005.91,
T000089,8277,43179,2022-09-07,05:20:32,4788.0,EUR,Walmart,Travel,Debit,Pending,Tel Aviv,ATM,13564.42,Gift
T000091,4152,14699,2024-03-23,15:37:11,1237.22,GBP,Walmart,Travel,Debit,Completed,New York,Web,510.26,Bonus
T000095,4938,55332,2020-01-18,11:20:10,-2126.16,EUR,IKEA,Entertainment,Credit,Completed,Tokyo,POS,9510.08,Gift
T000099,9467,40138,2022-11-07,16:14:45,2402.95,EUR,Walmart,Groceries,Credit,Completed,Tel Aviv,ATM,4736.82,Refund
T000101,5406,53857,2024-01-25,00:54:24,-2650.95,GBP,Amazon,Electronics,Debit,Failed,New York,Mobile,400.75,Rent payment
T000103,4555,84626,2021-08-20,01:43:54,2866.96,ILS,Tesla,Entertainment,Debit,Pending,Tokyo,Web,12738.58,Monthly subscription
T000104,1198,60591,2024-02-22,06:01:26,-2921.72,GBP,IKEA,Entertainment,Credit,Failed,London,Web,6001.1,Refund
T000105,1124,54612,2021-09-17,06:21:41,-2351.03,EUR,Google,Entertainment,Credit,Pending,Berlin,ATM,11885.3,Bonus
T000109,3944,76370,2020-05-13,11:32:55,3690.42,ILS,Apple,Entertainment,Debit,Pending,New York,POS,5265.39,Rent payment
T000111,1761,77566,2022-06-05,11:56:06,-2968.37,GBP,Amazon,Salary,Credit,Pending,Tokyo,ATM,3264.17,Monthly subscription
T000112,7746,90210,2021-01-15,13:32:13,-999.64,USD,Walmart,Entertainment,Credit,Completed,Tokyo,ATM,9755.87,Rent payment
T000114,8575,83269,2023-06-09,10:44:20,-4762.17,EUR,IKEA,Travel,Credit,Pending,London,ATM,12478.09,
T000116,3910,37586,2020-05-12,02:06:16,-3339.56,USD,Apple,Salary,Credit,Pending,London,POS,4150.05,Rent payment
T000118,3034,35994,2020-09-21,14:14:52,-1458.02,ILS,Walmart,Travel,Credit,Completed,Tel Aviv,ATM,17177.38,Refund
T000120,5233,94378,2022-07-21,04:38:22,2412.36,EUR,Amazon,Entertainment,Debit,Pending,Tokyo,POS,19766.42,Monthly subscription
T000123,9815,87598,2023-01-04,08:10:02,3327.69,GBP,IKEA,Groceries,Debit,Pending,Tokyo,POS,2090.05,Rent payment
T000125,2199,90718,2023-05-08,20:14:13,4269.33,GBP,Amazon,Electronics,Credit,Failed,Tokyo,Web,9088.64,Refund
T000128,7685,10318,2023-04-12,18:38:00,-617.26,USD,Tesla,Salary,Debit,Pending,New York,Web,18196.67,Bonus
T000129,9711,36201,2021-10-05,06:19:15,-634.48,USD,Amazon,Salary,Debit,Completed,Tel Aviv,Web,11804.73,
T000131,1637,26780,2024-04-16,07:44:54,387.88,USD,IKEA,Travel,Credit,Completed,Tokyo,Mobile,1902.97,Monthly subscription
T000133,4288,90978,2024-12-01,04:26:46,2428.96,USD,Google,Salary,Debit,Completed,Tel Aviv,ATM,12458.16,Refund
T000134,9211,33594,2024-05-09,21:20:03,2108.9,ILS,Amazon,Groceries,Debit,Failed,Berlin,Web,12291.76,Monthly subscription
T000136,8723,26889,2020-02-02,12:35:43,2685.92,ILS,Google,Entertainment,Credit,Failed,Berlin,POS,15610.17,Bonus
T000140,4764,93276,2020-12-20,05:52:42,-2903.22,USD,Tesla,Entertainment,Credit,Pending,Tel Aviv,POS,11440.51,Refund
T000141,7941,79802,2024-08-18,22:06:39,-3458.14,GBP,IKEA,Salary,Debit,Completed,Tel Aviv,Web,15344.19,Bonus
T000142,4663,94273,2022-06-14,01:04:47,2512.52,ILS,Walmart,Groceries,Credit,Failed,Tel Aviv,POS,18845.86,Bonus
T000143,7917,94349,2020-06-23,18:50:53,2275.36,GBP,Google,Groceries,Debit,Pending,Berlin,Mobile,15292.75,Bonus
T000145,4477,99870,2021-05-20,07:02:21,4148.91,USD,Google,Entertainment,Credit,Pending,London,Mobile,1189.46,Bonus
T000146,1632,82023,2023-04-26,01:57:02,-2463.85,EUR,Apple,Electronics,Credit,Completed,New York,ATM,17558.05,
T000147,3211,69958,2023-05-19,15:02:06,2514.43,GBP,Apple,Groceries,Debit,Failed,London,POS,11032.42,Gift
T000148,7351,36465,2022-07-07,15:41:19,-2010.24,EUR,Tesla,Travel,Debit,Pending,Berlin,Mobile,13149.98,Monthly subscription
T000149,1276,68351,2020-06-23,15:47:25,4780.39,GBP,IKEA,Utilities,Credit,Completed,London,Mobile,6020.17,Refund
T000150,7403,93621,2020-08-02,09:46:39,-4385.19,GBP,Apple,Salary,Debit,Pending,New York,Mobile,19896.28,Bonus
T000152,9799,42751,2022-12-07,21:14:39,2009.29,GBP,Google,Groceries,Credit,Failed,Tokyo,ATM,1730.09,Refund
T000155,6390,61625,2021-02-16,10:34:05,295.41,GBP,Walmart,Groceries,Credit,Pending,Tel Aviv,ATM,19736.11,Gift
T000156,3091,85678,2023-08-12,06:02:24,4433.11,EUR,Apple,Salary,Debit,Completed,Tokyo,Web,18698.27,
T000163,3178,68656,2022-12-17,21:29:44,-2546.22,USD,Amazon,Electronics,Debit,Pending,London,ATM,1242.17,Refund
T000164,2089,11868,2022-03-27,15:44:08,3158.9,ILS,Walmart,Salary,Credit,Completed,Berlin,POS,11119.84,
T000166,9300,81627,2022-03-05,21:28:20,99.46,EUR,IKEA,Travel,Debit,Failed,Tokyo,ATM,3010.76,Refund
T000167,8101,12512,2021-02-02,18:42:03,1911.84,GBP,Walmart,Salary,Credit,Completed,New York,Mobile,17182.22,Bonus
T000172,4762,65901,2024-02-18,05:05:58,-193.1,EUR,Walmart,Utilities,Debit,Failed,Tel Aviv,ATM,15042.7,Rent payment
T000173,5832,88702,2023-07-03,05:04:14,-3427.07,USD,Apple,Salary,Debit,Completed,Berlin,Web,251.1,Gift
T000174,9730,94454,2021-01-26,15:59:50,-1916.41,EUR,Tesla,Entertainment,Credit,Pending,New York,POS,7792.11,
T000177,6057,35332,2023-07-22,05:42:10,4202.4,ILS,Walmart,Travel,Credit,Completed,London,Mobile,19895.14,Bonus
T000178,2704,21014,2024-11-10,23:44:03,2729.14,USD,Walmart,Groceries,Debit,Completed,London,Web,3950.5,Rent payment
T000180,5647,88669,2022-02-12,07:43:50,2895.28,USD,Tesla,Electronics,Debit,Failed,London,POS,994.01,Monthly subscription
T000181,8128,12540,2022-04-24,06:05:24,619.98,USD,Google,Entertainment,Credit,Pending,Tel Aviv,POS,17672.7,Bonus
T000183,6028,83348,2021-06-04,14:41:22,1986.89,GBP,IKEA,Electronics,Debit,Completed,London,ATM,7454.58,Bonus
T000184,8612,30623,2021-08-20,13:39:09,-2533.0,EUR,Google,Electronics,Debit,Failed,Berlin,ATM,5074.22,Gift
T000185,4504,83193,2021-04-20,01:06:20,1043.05,ILS,Apple,Salary,Debit,Failed,London,ATM,9108.26,
T000186,2255,29526,2022-12-22,06:20:50,-1014.0,ILS,IKEA,Entertainment,Credit,Completed,London,Mobile,10210.21,Monthly subscription
T000188,6047,17365,2024-08-07,12:49:56,129.3,USD,Apple,Groceries,Credit,Pending,Berlin,ATM,11335.85,
T000189,3900,44047,2020-09-03,05:07:17,-492.57,EUR,Google,Entertainment,Credit,Failed,Tokyo,Mobile,18115.77,Refund
T000190,3843,30728,2024-08-16,08:26:26,-3349.61,EUR,Tesla,Travel,Debit,Failed,London,Mobile,14751.0,Monthly subscription
T000192,5211,76461,2023-01-22,16:56:29,-1661.12,EUR,Walmart,Groceries,Credit,Pending,New York,ATM,5621.06,Monthly subscription
T000193,6914,14307,2020-06-01,01:23:13,3967.38,USD,Tesla,Salary,Credit,Completed,Tokyo,Mobile,14610.52,Monthly subscription
T000195,1053,45486,2022-11-12,10:06:57,-220.41,USD,Walmart,Salary,Debit,Pending,New York,POS,13803.82,Rent payment
T000196,2225,99189,2020-12-05,15:47:15,3900.68,ILS,Tesla,Travel,Credit,Pending,Tel Aviv,ATM,14901.51,Gift
T000199,5427,84933,2024-10-22,16:55:06,-4300.23,USD,IKEA,Travel,Debit,Completed,Berlin,Mobile,14059.99,Gift
T000203,5144,60815,2022-09-15,00:01:29,-3072.16,ILS,IKEA,Travel,Credit,Failed,New York,ATM,5290.27,
T000204,6194,96760,2021-10-19,20:56:14,-4072.14,EUR,Google,Utilities,Credit,Completed,Tokyo,POS,7959.49,Rent payment
T000205,3143,39728,2023-03-09,00:28:07,2402.21,USD,Google,Electronics,Credit,Completed,Tel Aviv,POS,18700.0,Gift
T000206,8524,58299,2021-11-17,21:50:55,4663.34,USD,Google,Salary,Credit,Completed,Berlin,ATM,6565.89,Rent payment
T000207,7612,73604,2022-05-01,09:39:12,3438.29,ILS,Amazon,Electronics,Credit,Completed,New York,Web,13648.8,Bonus
T000209,3629,32160,2020-12-25,17:23:09,705.04,GBP,Apple,Travel,Debit,Pending,London,POS,8174.84,Rent payment
T000210,9777,96916,2020-05-10,23:08:48,1068.79,EUR,IKEA,Electronics,Credit,Failed,Berlin,Web,4510.83,Rent payment
T000214,6126,90859,2021-12-02,17:17:17,-4067.2,EUR,Amazon,Entertainment,Debit,Completed,London,POS,845.9,Gift
T000219,6421,85725,2024-01-02,08:00:56,-821.86,ILS,Tesla,Entertainment,Debit,Pending,London,Mobile,5655.18,Monthly subscription
T000220,3106,72023,2024-02-17,15:27:27,-4241.22,USD,Tesla,Travel,Debit,Pending,Berlin,ATM,18636.34,Refund
T000221,4561,48720,2023-07-12,08:44:54,176.8,ILS,Tesla,Utilities,Credit,Pending,Berlin,Mobile,17807.48,Monthly subscription
T000222,3294,61276,2022-04-09,19:28:44,2005.91,USD,Tesla,Utilities,Debit,Failed,Tokyo,Web,12302.07,Refund
T000224,2343,30266,2024-05-11,04:34:25,2740.0,GBP,Tesla,Utilities,Debit,Pending,London,Web,10149.27,Monthly subscription
T000225,4146,75908,2023-10-16,03:45:15,2012.11,EUR,Walmart,Travel,Credit,Pending,Tokyo,Mobile,882.05,Gift
T000226,2536,67244,2020-08-02,17:00:21,-626.37,ILS,Apple,Electronics,Credit,Pending,New York,ATM,11234.26,Bonus
T000227,5364,33120,2023-01-16,03:25:52,-4000.44,GBP,IKEA,Utilities,Debit,Completed,Tokyo,POS,19320.04,
T000228,3297,42023,2021-12-17,19:56:10,3779.13,USD,Google,Electronics,Debit,Pending,Tel Aviv,Web,11458.39,
T000230,1170,55848,2022-12-19,14:52:51,2613.58,EUR,Walmart,Electronics,Debit,Pending,London,Mobile,19989.12,Gift
T000232,1310,86553,2020-03-09,16:21:54,54.67,ILS,Google,Groceries,Debit,Failed,Tel Aviv,Mobile,17220.48,Rent payment
T000234,3950,19739,2021-08-13,03:48:16,-1517.96,GBP,Walmart,Groceries,Credit,Completed,Berlin,POS,13982.86,
T000235,6244,74125,2024-11-28,08:06:52,-982.32,ILS,IKEA,Travel,Credit,Completed,Berlin,Mobile,2616.66,Monthly subscription
T000236,2091,93500,2020-04-26,14:08:09,-4759.26,USD,Apple,Entertainment,Credit,Pending,New York,Mobile,3766.87,
T000238,9427,10691,2020-11-17,14:43:26,-2965.39,EUR,Google,Entertainment,Debit,Pending,New York,POS,1063.69,Rent payment
T000240,8159,15157,2020-02-17,12:30:47,-4700.16,GBP,Google,Travel,Debit,Failed,Tel Aviv,ATM,203.71,Gift
T000241,3076,35953,2023-08-15,14:38:36,95.01,USD,Tesla,Entertainment,Credit,Completed,Tokyo,ATM,3067.38,Monthly subscription
T000242,6218,33082,2023-09-18,11:58:04,-1691.88,GBP,Apple,Utilities,Credit,Completed,Tokyo,Mobile,15426.0,
T000246,1343,46581,2020-11-07,06:45:54,-1846.29,ILS,IKEA,Entertainment,Debit,Pending,Tel Aviv,Mobile,15562.75,Refund
T000247,2919,55334,2020-06-06,00:54:50,-1301.68,USD,Tesla,Groceries,Debit,Failed,London,Web,19346.33,Rent payment
T000248,5705,70841,2021-08-09,04:29:47,37.35,USD,IKEA,Salary,Credit,Completed,London,Mobile,5975.97,Rent payment
T000251,2683,72998,2023-03-21,15:34:06,4882.23,EUR,Amazon,Travel,Debit,Failed,Tokyo,POS,2321.37,Rent payment
T000253,1301,59317,2020-02-15,12:28:52,-1166.03,EUR,Amazon,Groceries,Credit,Pending,New York,Web,2298.43,Gift
T000254,4702,21826,2021-06-22,02:19:00,4601.76,USD,Google,Utilities,Debit,Completed,Tokyo,Web,4627.95,Refund
T000255,7461,30867,2022-04-29,16:31:12,-3298.57,EUR,IKEA,Salary,Credit,Pending,Berlin,ATM,18772.56,Gift
T000256,4175,88081,2023-07-22,05:05:22,-1895.35,USD,Google,Salary,Credit,Failed,London,Web,15755.86,Refund
T000257,7866,15587,2024-09-09,00:20:29,-1958.42,USD,Amazon,Electronics,Debit,Failed,Berlin,Mobile,2946.72,Refund
T000258,6921,69705,2022-03-06,05:41:15,3442.84,EUR,Tesla,Groceries,Credit,Pending,London,Web,6291.2,Gift
T000260,8772,56338,2024-08-24,23:52:57,90.39,GBP,Google,Groceries,Debit,Pending,Tokyo,ATM,9825.75,Rent payment
T000261,7658,75489,2020-05-22,17:52:45,-3095.04,EUR,Apple,Groceries,Debit,Pending,London,ATM,4075.83,
T000262,3626,24244,2021-07-21,10:09:29,-2168.9,ILS,Tesla,Electronics,Debit,Completed,Tel Aviv,Mobile,4163.97,
T000265,1676,62939,2024-10-11,07:29:26,3363.38,GBP,Google,Salary,Credit,Pending,Berlin,POS,14802.65,Monthly subscription
T000268,3504,75481,2020-11-13,17:07:16,-3618.9,ILS,IKEA,Entertainment,Credit,Failed,London,Mobile,2130.95,Gift
T000269,5258,14896,2021-11-20,19:14:37,3815.03,EUR,Walmart,Utilities,Credit,Pending,Tokyo,POS,1488.28,Gift
T000272,2056,81828,2020-02-20,03:44:43,4676.01,GBP,Tesla,Entertainment,Debit,Failed,London,Mobile,5772.58,Rent payment
T000273,4560,18669,2020-07-20,16:54:25,317.02,GBP,Tesla,Electronics,Debit,Completed,Berlin,Web,17171.57,Refund
T000276,1131,61984,2023-08-09,00:59:56,-3079.31,EUR,Apple,Salary,Debit,Failed,Tel Aviv,Web,6433.45,Monthly subscription
T000279,8738,51678,2021-10-08,10:49:47,-1750.14,EUR,Tesla,Utilities,Credit,Failed,London,ATM,11971.17,Bonus
T000280,9910,31170,2022-11-04,00:10:26,-2386.9,USD,Amazon,Utilities,Credit,Pending,Tokyo,POS,18268.27,Monthly subscription
T000281,6294,33004,2023-12-13,17:40:05,-2373.53,USD,Walmart,Salary,Credit,Completed,Berlin,Mobile,15528.44,Rent payment
T000282,5933,45046,2021-06-18,00:21:29,-4006.55,ILS,Apple,Utilities,Debit,Failed,Tokyo,ATM,16380.58,Monthly subscription
T000286,5704,20853,2020-10-17,20:17:33,3625.44,ILS,IKEA,Groceries,Credit,Pending,Berlin,POS,6941.69,Rent payment
T000287,7200,27113,2023-02-13,12:10:18,-1996.73,ILS,Google,Groceries,Debit,Completed,Berlin,ATM,13957.55,
T000291,6767,73311,2024-05-17,18:11:01,-584.56,GBP,Google,Travel,Debit,Failed,London,ATM,19101.2,Gift
T000292,7116,21212,2020-01-16,09:04:06,3960.47,GBP,Tesla,Entertainment,Debit,Pending,London,Mobile,12760.66,
T000293,6228,95629,2022-12-08,15:20:27,4669.72,USD,Amazon,Electronics,Debit,Completed,Tokyo,Mobile,3251.12,Refund
T000294,8892,78964,2024-11-23,06:14:48,2704.19,ILS,Walmart,Salary,Credit,Pending,London,Mobile,8598.53,Refund
T000296,3457,44301,2023-02-19,05:17:48,-1382.97,USD,Google,Entertainment,Credit,Failed,Berlin,ATM,9618.67,Bonus
T000297,3747,65044,2021-01-23,16:30:34,-3575.28,EUR,Walmart,Entertainment,Debit,Pending,Tokyo,Mobile,11410.88,
T000299,3145,50852,2020-10-03,10:03:31,-1798.91,ILS,Tesla,Electronics,Credit,Failed,Tokyo,POS,6421.34,Bonus
T000302,1275,34336,2020-09-03,09:22:59,-2743.58,GBP,IKEA,Utilities,Debit,Pending,London,ATM,5882.13,Bonus
T000303,8482,24589,2023-12-17,16:02:51,2653.68,EUR,Walmart,Electronics,Credit,Pending,Tel Aviv,Web,9711.31,Refund
T000304,3618,99637,2020-02-15,18:53:21,1147.7,USD,Apple,Groceries,Debit,Pending,New York,Mobile,10173.18,Rent payment
T000305,9612,75320,2023-05-15,06:31:24,-3145.4,USD,Tesla,Entertainment,Credit,Failed,Tokyo,Mobile,10690.1,Monthly subscription
T000306,5173,18068,2021-10-10,07:38:15,-1142.91,GBP,Amazon,Electronics,Debit,Failed,Berlin,POS,13179.83,Monthly subscription
T000309,9627,52003,2024-05-14,22:39:18,2841.38,USD,IKEA,Travel,Credit,Pending,Tokyo,ATM,10855.49,
T000311,9119,89164,2023-05-26,11:13:06,-2278.82,ILS,Amazon,Travel,Credit,Completed,Berlin,Mobile,4783.25,Monthly subscription
T000312,5193,24644,2023-11-09,14:29:21,1847.18,USD,Walmart,Entertainment,Credit,Failed,Tokyo,Mobile,3433.01,
T000314,6068,92661,2020-01-09,12:59:30,-883.27,GBP,Tesla,Groceries,Debit,Completed,London,ATM,11194.61,
T000315,5058,74971,2022-12-29,05:36:12,-849.56,EUR,Amazon,Utilities,Credit,Completed,Berlin,Mobile,1303.1,
T000316,9274,53325,2024-03-16,19:08:35,-4441.91,GBP,IKEA,Travel,Debit,Completed,Tokyo,POS,9748.79,Monthly subscription
T000318,1964,49353,2023-03-07,15:06:38,-4266.5,GBP,Walmart,Travel,Debit,Failed,Tokyo,Mobile,18654.68,Gift
T000321,5953,44641,2022-01-19,13:13:27,4533.97,USD,Apple,Electronics,Credit,Pending,New York,POS,3887.93,
T000323,7869,80986,2021-09-03,21:02:24,-2908.37,ILS,Walmart,Utilities,Credit,Failed,London,POS,12739.21,Rent payment
T000324,8095,43511,2022-07-21,22:44:45,2895.07,USD,Apple,Travel,Credit,Pending,New York,Mobile,19313.1,Gift
T000325,4704,56259,2023-01-27,14:53:25,2014.99,USD,Walmart,Groceries,Debit,Failed,New York,Mobile,8414.1,Bonus
T000326,1885,50436,2024-05-18,06:08:55,-4737.37,USD,IKEA,Entertainment,Credit,Completed,Berlin,Web,1294.69,Bonus
T000327,1137,92178,2023-12-10,04:12:01,-1537.53,USD,IKEA,Utilities,Debit,Completed,Berlin,ATM,14676.65,Bonus
T000328,5966,17475,2023-11-03,03:40:13,-279.74,GBP,Amazon,Electronics,Debit,Pending,London,Web,16885.45,Refund
T000330,4917,59291,2024-10-12,23:35:36,528.05,ILS,Tesla,Groceries,Credit,Completed,Tokyo,POS,14300.63,Rent payment
T000331,6532,28161,2022-03-10,19:50:05,-3433.3,USD,Amazon,Salary,Debit,Pending,Tokyo,POS,977.69,Refund
T000333,4602,84336,2021-07-17,18:15:27,-4735.86,GBP,Amazon,Groceries,Debit,Failed,Berlin,Mobile,8454.67,Rent payment
T000334,1445,32415,2021-09-21,10:40:31,-1111.83,EUR,Walmart,Utilities,Credit,Pending,Tokyo,ATM,5238.87,Monthly subscription
T000335,2919,98292,2021-04-17,20:19:19,-2504.48,ILS,Tesla,Entertainment,Debit,Completed,London,Mobile,14450.23,Rent payment
T000336,3231,49125,2021-12-10,06:40:57,-2977.96,EUR,Apple,Travel,Credit,Completed,Tel Aviv,Web,7757.12,Bonus
T000338,6614,56730,2020-10-02,11:33:01,3603.74,ILS,IKEA,Salary,Debit,Failed,London,Web,12860.89,Gift
T000339,4852,35954,2022-09-28,01:13:22,3889.17,USD,Amazon,Utilities,Credit,Pending,Berlin,Web,10482.34,Monthly subscription
T000340,5762,68321,2020-04-22,17:07:09,4148.28,EUR,Google,Salary,Debit,Pending,New York,ATM,7164.29,Gift
T000341,2375,14745,2024-03-28,15:20:56,461.33,GBP,Amazon,Electronics,Debit,Failed,Tokyo,POS,5121.84,Gift
T000342,3483,88047,2020-08-16,22:22:39,1813.93,USD,IKEA,Groceries,Debit,Pending,London,Web,13076.2,Gift
T000344,5269,12922,2020-05-10,05:11:37,2373.69,ILS,Apple,Electronics,Credit,Pending,Berlin,ATM,18844.25,Refund
T000345,1350,93902,2021-07-28,06:23:38,3495.11,USD,Tesla,Travel,Credit,Failed,Tel Aviv,POS,3065.14,Bonus
T000347,7689,12722,2021-03-15,16:35:59,1586.59,ILS,Tesla,Groceries,Credit,Failed,Tel Aviv,ATM,4597.24,
T000349,9496,48529,2020-04-11,23:35:10,-2993.83,USD,Tesla,Salary,Debit,Completed,Tokyo,POS,15961.78,Gift
T000350,6557,24040,2021-12-10,06:00:03,1793.86,USD,Apple,Entertainment,Debit,Pending,New York,POS,5153.16,
T000351,6777,90280,2023-10-19,03:20:30,2264.43,ILS,Apple,Salary,Credit,Completed,New York,Web,2687.79,Monthly subscription
T000353,9464,16157,2020-08-25,21:09:23,3620.37,ILS,Amazon,Utilities,Credit,Completed,Tokyo,POS,19410.18,Gift
T000354,3282,86570,2024-10-08,14:23:07,-4206.95,ILS,IKEA,Salary,Debit,Failed,New York,Mobile,4486.5,Refund
T000355,2320,26134,2022-04-17,02:26:33,-2079.55,EUR,Google,Utilities,Debit,Pending,Tel Aviv,Mobile,9151.76,Rent payment
